id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lat,lng
14,市立札幌病院店 | タリーズコーヒー,北海道,札幌市,中央区北11条西13丁目1-1,桑園駅徒歩3分以上,011-700-5022,"平日：7：30-19：30
土：9：00-18：00
日祝：9：00-18：00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=580,FALSE,FALSE,FALSE,TRUE,43.0707969,141.3343442
15,手稲渓仁会病院店 | タリーズコーヒー,北海道,札幌市,手稲区前田1条12丁目-1-40,手稲駅徒歩3分以上,011-688-3888,"平日：7:00〜19:00
土：8:00〜18:00
日祝：10:00〜16:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=351,TRUE,FALSE,FALSE,TRUE,43.1222769,141.2431129
16,千歳アウトレットモール店 | タリーズコーヒー,北海道,千歳市,柏台南1-2-1千歳アウトレットモール・レラ,南千歳駅徒歩5分以上,0123-40-6033,"平日：10:00〜20:00
土：10:00〜20:00
日祝：10:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=259,FALSE,FALSE,TRUE,FALSE,42.8120565,141.6765849
17,函館駅店 | タリーズコーヒー,北海道,函館市,若松町12番地13号函館本線函館駅舎内2F,函館駅徒歩3分以内,0138-24-3855,"平日：7:30〜20:00
土：7:30〜20:00
日祝：7:30〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=810,TRUE,FALSE,FALSE,FALSE,41.7735159,140.7260503
18,函館五稜郭病院店 | タリーズコーヒー,北海道,函館市,五稜郭町38番3号函館五稜郭病院1F,五稜郭公園前駅徒歩6分以上,0138-51-0051,"平日：7:30〜19:00
土：7:30〜18:00
日祝：10:00〜18:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=661,FALSE,FALSE,FALSE,TRUE,41.792436,140.7555209
19,北海道大学病院店 | タリーズコーヒー,北海道,札幌市,北区北14条西5丁目,北12条駅徒歩5分以上,011-769-0957,"平日：7:00〜20:00
土：8:30〜19:00
日祝：8:30〜19:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=673,TRUE,FALSE,FALSE,FALSE,43.0777603,141.3458511
20,TSUTAYA弘前店 | タリーズコーヒー,青森県,弘前市,大字高田2-1-1,運動公園前駅徒歩17分以上,0172-29-1055,"平日：9:00〜21:00
土：9:00〜21:00
日祝：9:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=867,FALSE,FALSE,TRUE,FALSE,40.6006563,140.5012861
21,イオンモールつがる市立図書館店 | タリーズコーヒー,青森県,つがる市,柏稲盛幾世41イオンモールつがる市立図書館棟1F,木造駅徒歩38分以上,0173-27-5925,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=839,FALSE,FALSE,FALSE,FALSE,40.8022677,140.4177867
22,イオンモールつがる柏店 | タリーズコーヒー,青森県,つがる市,柏稲盛幾世41イオンモールつがる柏1F,木造駅徒歩38分以上,0173-27-5925,"平日：10：00〜21：00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=143,FALSE,FALSE,FALSE,FALSE,40.8022677,140.4177867
23,イオンモール下田店 | タリーズコーヒー,青森県,上北郡,おいらせ町中野平40-1,下田駅徒歩21分以上,0178-50-5015,"平日：9:00〜21:00
土：9:00〜21:00
日祝：9:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=187,TRUE,FALSE,FALSE,FALSE,40.6020537,141.4181727
24,八戸六日町店 | タリーズコーヒー,青森県,八戸市,六日町16-2GardenTerrace1F,本八戸駅徒歩11分以上,0178-73-1088,"平日：7:00〜21:00
土：7:00〜21:00
日祝：7:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=847,FALSE,TRUE,FALSE,TRUE,40.5093077,141.4915444
25,ナナック盛岡店 | タリーズコーヒー,岩手県,盛岡市,中ノ橋通1-6-8ナナック1F,仙北町駅徒歩20分以上,019-604-7688,"平日：7:30〜20:00
土：8：00〜20：00
日祝：8：00〜20：00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=626,TRUE,FALSE,FALSE,FALSE,39.6995854,141.1559795
26,盛岡駅フェザン店 | タリーズコーヒー,岩手県,盛岡市,盛岡駅前通1-44盛岡フェザン1，2階,盛岡駅徒歩3分以上,019-654-7880,"平日：7:00〜22:00（L.O.21:30）
土：7:00〜22:00（L.O.21:30）
日祝：7:00〜22:00（L.O.21:30）",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=142,TRUE,FALSE,TRUE,FALSE,39.703447,141.13507
27,tekuteながまち店 | タリーズコーヒー,宮城県,仙台市,太白区長町5丁目1-1tekuteながまち,長町駅徒歩1分以上,022-281-9178,"平日：7:30〜21:00
土：9:00〜21:00
日祝：9:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=805,TRUE,FALSE,TRUE,FALSE,38.2277302,140.8857403
28,コミュシティエスパル仙台店 | タリーズコーヒー,宮城県,仙台市,青葉区中央一丁目1-1,仙台駅徒歩2分以上,022-794-7757,"平日：7:00〜22:00
土：7:00〜22:00
日祝：7:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=880,FALSE,FALSE,FALSE,FALSE,38.2601439,140.8821271
29,ララガーデン長町店 | タリーズコーヒー,宮城県,仙台市,太白区長町7-20-5,長町南駅徒歩1分以上,022-746-8727,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=439,TRUE,FALSE,TRUE,FALSE,38.2252557,140.8757038
30,古川駅店 | タリーズコーヒー,宮城県,大崎市,古川駅前大通1-7-35古川駅ショッピングセンター「古川駅食品館ピボット」,古川駅徒歩4分以上,0229-25-8471,"平日：7:30〜20:00
土：7:30〜20:00
日祝：7:30〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=680,TRUE,TRUE,TRUE,FALSE,38.5717685,140.9680297
31,三井アウトレットパーク仙台港店 | タリーズコーヒー,宮城県,仙台市,宮城野区中野三丁目7番地の2三井アウトレットパーク仙台港2320,中野栄駅徒歩10分以上,022-388-7535,"平日：10:00〜20:00
土：10:00〜20:00
日祝：10:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=392,TRUE,FALSE,TRUE,FALSE,38.275162,140.989815
32,石巻赤十字病院店 | タリーズコーヒー,宮城県,石巻市,蛇田字西道下71,曽波神駅徒歩13分以上,0225-90-3601,"平日：7:00〜21:00
土：8:30〜20:00
日祝：8:30〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=769,TRUE,FALSE,FALSE,TRUE,38.4594794,141.2802344
33,仙台パルコ２店 | タリーズコーヒー,宮城県,仙台市,青葉区中央3丁目7番5号仙台パルコ２1F,仙台駅徒歩3分以内,022-395-6933,"平日：8:00〜000
土：8:00〜0:00
日祝：8:00〜0:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=834,TRUE,FALSE,FALSE,TRUE,38.2589537,140.8796247
34,仙台市立病院店 | タリーズコーヒー,宮城県,仙台市,太白区あすと長町一丁目1番1号仙台市立病院1F,長町一丁目駅徒歩3分以上,022-797-7715,"平日：7:30〜19:00
土：8:00〜18:00
日祝：8:00〜18:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=734,TRUE,FALSE,FALSE,TRUE,38.2320097,140.8881756
35,仙台泉プレミアム・アウトレット店 | タリーズコーヒー,宮城県,仙台市,泉区寺岡6-1仙台泉プレミアム・アウトレット2385区,泉中央駅徒歩64分以上,022-342-6880,"平日：9:30〜20:00
土：9:30〜20:00
日祝：9:30〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=398,TRUE,FALSE,TRUE,FALSE,38.341805,140.8369608
36,仙台泉店 | タリーズコーヒー,宮城県,仙台市,泉区大沢2-12-4蔦屋書店仙台泉店内,泉中央駅徒歩46分以上,022-772-4560,"平日：9:00〜22:00
土：8:00〜22:00
日祝：8:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=641,FALSE,FALSE,TRUE,FALSE,38.3520265,140.8795077
37,仙台中央通り店 | タリーズコーヒー,宮城県,仙台市,青葉区中央1丁目8-23タイコヤビル1F,あおば通駅徒歩1分以上,022-716-0210,"平日：7:30〜22:30
土：8:00〜23:00
日祝：9:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=96,TRUE,FALSE,TRUE,TRUE,38.2617311,140.8795191
38,仙台富沢西店 | タリーズコーヒー,宮城県,仙台市,太白区富田字京ノ北72-1,富沢駅徒歩22分以上,022-307-1067,"平日：9:00〜22:00
土：9:00〜22:00
日祝：9:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=912,FALSE,FALSE,FALSE,FALSE,38.2131316,140.8532034
39,東北大学医学部店 | タリーズコーヒー,宮城県,仙台市,青葉区星陵町2-1東北大学医学部星陵キャンパス内星陵会館1F,北四番丁駅徒歩12分以上,022-727-5028,"平日：10:30〜17:30
土：休業
日祝：休業",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=765,FALSE,FALSE,FALSE,FALSE,38.2710592,140.8592246
40,東北大学病院店 | タリーズコーヒー,宮城県,仙台市,青葉区星陵町1-1東北大学病院内,北四番丁駅徒歩10分以上,022-728-6080,"平日：7:00〜19:30
土：8:30〜17:30
日祝：8:30〜17:30",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=304,FALSE,FALSE,FALSE,FALSE,38.272008,140.861253
41,フォンテＡＫＩＴＡ店 | タリーズコーヒー,秋田県,秋田市,中通2−8−1SC内2F,秋田駅徒歩3分以上,018-893-5653,"平日：8:00〜20:00
土：8:00〜20:00
日祝：8:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=497,TRUE,TRUE,TRUE,FALSE,39.7163482,140.1276316
42,大館店 | タリーズコーヒー,秋田県,大館市,清水5-2-41,大館駅徒歩13分以上,0186-44-6577,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=864,FALSE,FALSE,FALSE,FALSE,40.283492,140.5471363
43,山形七日町店 | タリーズコーヒー,山形県,山形市,七日町2-1-8イイナス1階,山形駅徒歩16分以上,023-615-4618,"平日：8:00〜20:00
土：8:30〜20:00
日祝：9:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=152,TRUE,FALSE,TRUE,FALSE,38.2525344,140.3390615
44,山形松見町店 | タリーズコーヒー,山形県,山形市,松見町21-10ヤマザワ松見町店内,山形駅徒歩31分以上,023-615-2281,"平日：8:00〜23：30
土：8:00〜23：30
日祝：8:00〜23：30",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=613,TRUE,FALSE,FALSE,FALSE,38.23125,140.340452
45,エスパル郡山店 | タリーズコーヒー,福島県,郡山市,山市字燧田195エスパル郡山2F,郡山駅徒歩2分以上,024-954-7970,"平日：10:00〜20:00
土：10:00〜20:00
日祝：10:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=927,FALSE,FALSE,FALSE,FALSE,37.3967468,140.3880619
46,会津若松店 | タリーズコーヒー,福島県,会津若松市,幕内南9-10アピタ会津若松店1F,西若松駅徒歩13分以上,0242-36-6055,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=294,TRUE,FALSE,TRUE,FALSE,37.483345,139.9043677
47,郡山駅店 | タリーズコーヒー,福島県,郡山市,山市字燧田195JR郡山駅構内,郡山駅徒歩1分以上,024-991-7877,"平日：7:00〜21:00
土：7:00〜21:00
日祝：7:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=242,TRUE,FALSE,TRUE,FALSE,37.3974218,140.3880998
48,ＴＸ守谷駅店 | タリーズコーヒー,茨城県,守谷市,中央4-9TX守谷駅1F,守谷駅徒歩3分以内,0297-47-8388,"平日：7:30〜21:00
土：8:00〜21:00
日祝：8:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=271,TRUE,FALSE,TRUE,FALSE,35.9506698,139.9922675
49,あみプレミアム・アウトレット店 | タリーズコーヒー,茨城県,稲敷郡,阿見町よしわら四丁目1番地１100区画,errererror,029-833-6685,"平日：9:30〜20:00
土：9:30〜20:00
日祝：9:30〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=432,FALSE,FALSE,TRUE,FALSE,35.984501,140.2394667
50,イオンモールつくば店 | タリーズコーヒー,茨城県,つくば市,稲岡66-1イオンモールつくば3F,荒川沖駅徒歩43分以上,029-896-6108,"平日：9:00〜21:00
土：9：00〜21：00
日祝：9：00〜21：00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=632,TRUE,FALSE,TRUE,FALSE,36.0349817,140.1329673
51,イオンモール水戸内原店 | タリーズコーヒー,茨城県,水戸市,内原2丁目1番地イオンモール水戸内原2F,内原駅徒歩10分以上,029-259-1537,"平日：10:00〜22:00
土：10:00〜22:00
日祝：10:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=286,FALSE,FALSE,TRUE,FALSE,36.3746677,140.3586856
52,ニューポートひたちなか店 | タリーズコーヒー,茨城県,ひたちなか市,新光町35ニューポートひたちなかファッションクルーズ1F,阿字ヶ浦駅徒歩48分以上,029-264-2418,"平日：10:00〜20:00
土：10:00〜20:00
日祝：10:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=312,TRUE,FALSE,TRUE,TRUE,36.4053805,140.5861003
53,ひたちなか新光町店 | タリーズコーヒー,茨城県,ひたちなか市,新光町30番4号蔦屋書店ひたちなか店内,阿字ヶ浦駅徒歩52分以上,029-265-1127,"平日：9:00〜22:00
土：8:00〜22:00
日祝：8:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=615,TRUE,TRUE,TRUE,FALSE,36.4072825,140.5841125
54,プレイアトレ土浦店 | タリーズコーヒー,茨城県,土浦市,有明町1-30,土浦駅徒歩1分以上,029-869-8870,"平日：7:00〜21:00
土：7:00〜21:00
日祝：7:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=931,FALSE,FALSE,FALSE,FALSE,36.0777557,140.2059052
55,水戸駅南口店 | タリーズコーヒー,茨城県,水戸市,宮町1-7-44COMBOX3103階,水戸駅徒歩3分以上,029-302-3003,"平日：7:00〜22:00
土：8:00〜22:00
日祝：8:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=303,TRUE,FALSE,TRUE,TRUE,36.3694564,140.4748402
56,水戸赤十字病院店 | タリーズコーヒー,茨城県,水戸市,三の丸3丁目12番48号水戸赤十字病院1F,水戸駅徒歩13分以上,029-302-6515,"平日：7:30〜18:00
土：7:30〜18:00<第1.3.5土>
日祝：10：00〜18：00<第2.4土>",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=599,TRUE,FALSE,FALSE,FALSE,36.3712864,140.4871241
57,筑波大学附属病院店 | タリーズコーヒー,茨城県,つくば市,天久保2-1-1,errererror,029-860-3077,"平日：7:30〜20:00
土：7:30〜19:00
日祝：7:30〜19:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=616,FALSE,FALSE,FALSE,FALSE,36.0930488,140.1030514
58,土浦協同病院店 | タリーズコーヒー,茨城県,土浦市,おおつ野4丁目1番1号土浦協同病院1階,神立駅徒歩59分以上,029-830-3345,"平日：9:00〜17:00
土：休業日
日祝：休業日",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=824,TRUE,FALSE,FALSE,TRUE,36.0834296,140.2584852
59,龍ヶ崎店 | タリーズコーヒー,茨城県,龍ヶ崎市,中里2−1−2,竜ヶ崎駅徒歩46分以上,0297-60-7012,"平日：9:00〜22:00
土：9:00〜22:00
日祝：9:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=928,FALSE,FALSE,FALSE,FALSE,35.9294982,140.2044557
60,FKD宇都宮店 | タリーズコーヒー,栃木県,宇都宮市,今泉町237福田屋ショッピングプラザ宇都宮店2F,宇都宮駅徒歩23分以上,028-650-6533,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=836,TRUE,FALSE,TRUE,TRUE,36.574154,139.9009693
61,VAL小山駅店 | タリーズコーヒー,栃木県,小山市,城山町3-3-22,小山駅徒歩2分以上,0285-30-0880,"平日：7:00〜21:00
土：7:00〜21：00
日祝：7:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=854,FALSE,FALSE,TRUE,TRUE,36.3138719,139.8065387
62,ララスクエア宇都宮店 | タリーズコーヒー,栃木県,宇都宮市,駅前通り1-4-6ララスクエア宇都宮1F,宇都宮駅徒歩2分以上,028-600-3108,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=254,TRUE,FALSE,TRUE,FALSE,36.5603005,139.8968949
63,宇都宮インターパークビレッジ店 | タリーズコーヒー,栃木県,宇都宮市,インターパーク4-1-3インターパークショッピングビレッジ内,雀宮駅徒歩39分以上,028-657-6710,"平日：10:00〜21:00
土：10:00〜21:00
日祝：10:00〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=284,TRUE,FALSE,TRUE,TRUE,36.4934028,139.9074353
64,宇都宮テクノ店 | タリーズコーヒー,栃木県,宇都宮市,ゆいの杜4-1-39,岡本駅徒歩74分以上,028-670-0168,"平日：10:00〜22:00
土：10:00〜22:00
日祝：10:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=428,TRUE,TRUE,TRUE,TRUE,36.5681871,139.9880946
65,宇都宮ベルモール店 | タリーズコーヒー,栃木県,宇都宮市,陽東6-2-1ベルモール1F,宇都宮駅徒歩39分以上,028-613-0350,"平日：10:00〜22:00
土：10:00〜22:00
日祝：10:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=218,TRUE,FALSE,TRUE,FALSE,36.5550373,139.9283866
66,宇都宮駅ビルパセオ店 | タリーズコーヒー,栃木県,宇都宮市,川向町1-23宇都宮駅ビルパセオ2F,宇都宮駅徒歩2分以上,028-650-5567,"平日：6:30〜22:00
土：6:30〜22:00
日祝：6:30〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=738,TRUE,TRUE,TRUE,TRUE,36.560777,139.898336
67,宇都宮駅東口店 | タリーズコーヒー,栃木県,宇都宮市,元今泉4-19-16,宇都宮駅徒歩7分以上,028-610-1107,"平日：8:00〜22:00
土：8:00〜22:00
日祝：8:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=699,TRUE,FALSE,TRUE,TRUE,36.5602711,139.9043132
68,作新学院前店 | タリーズコーヒー,栃木県,宇都宮市,西一の沢町2-1,東武宇都宮駅徒歩28分以上,028-649-0225,"平日：10:00〜22:00
土：10:00〜22:00
日祝：10:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=573,TRUE,FALSE,TRUE,TRUE,36.5686934,139.8619163
69,自治医大駅前店 | タリーズコーヒー,栃木県,下野市,医大前3-1-1TSUTAYA自治医大1F,自治医大駅徒歩1分以上,0285-40-1053,"平日：9:00〜22:00
土：9:00〜22:00
日祝：9:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=318,TRUE,FALSE,TRUE,TRUE,36.3951235,139.8556335
70,東武宇都宮店 | タリーズコーヒー,栃木県,宇都宮市,宮園町5-4東武宇都宮百貨店5F,東武宇都宮駅徒歩1分以上,028-651-1377,"平日：10:00〜19:00
土：10:00〜19:00
日祝：10:00〜19:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=843,FALSE,FALSE,FALSE,FALSE,36.5598712,139.8804882
71,栃木城内店 | タリーズコーヒー,栃木県,栃木市,城内町2-6-23,栃木駅徒歩16分以上,028-220-1033,"平日：9:00〜22:00
土：9:00〜22:00
日祝：9:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=455,FALSE,FALSE,TRUE,TRUE,36.3725625,139.7444334
72,那須ガーデンアウトレット店 | タリーズコーヒー,栃木県,那須塩原市,塩野崎184-7,那須塩原駅徒歩66分以上,0287-69-6231,"11月〜6月：10:00〜19:00
7月：10:00〜19:00（土日祝のみ10:00〜20:00）
8月〜10月：10:00〜20:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=382,TRUE,FALSE,FALSE,FALSE,36.9662257,139.9915522
73,矢板店 | タリーズコーヒー,栃木県,矢板市,末広町20-1うさぎやTSUTAYA矢板店1F,矢板駅徒歩2分以上,0287-40-0127,"平日：09:00〜22:00
土：09:00〜22:00
日祝：09:00〜22:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=232,TRUE,FALSE,TRUE,TRUE,36.8055116,139.9346642
74,ウニクス高崎店 | タリーズコーヒー,群馬県,高崎市,飯塚町1150-5ウニクス高崎2F,北高崎駅徒歩6分以上,027-370-6011,"平日：9:30〜21:00
土：9:30〜21:00
日祝：9:30〜21:00",https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=404,TRUE,TRUE,TRUE,FALSE,36.3393121,139.0070888
